scenarios,locs,techs,carriers,units,flow_out_sum,aliases
0,PRT,battery,electricity,kilogram,4588742.089405515,battery__electricity___PRT
0,PRT,biofuel_boiler,heat,megajoule,8443951.632043561,biofuel_boiler__heat___PRT
0,PRT,biofuel_supply,biofuel,kilogram,2842897593.0081835,biofuel_supply__biofuel___PRT
0,PRT,biofuel_to_diesel,diesel,kilogram,226141452.37025702,biofuel_to_diesel__diesel___PRT
0,PRT,biofuel_to_methane,methane,cubic meter,240964492.04181156,biofuel_to_methane__methane___PRT
0,PRT,biofuel_to_methanol,methanol,kilogram,776498342.6121527,biofuel_to_methanol__methanol___PRT
0,PRT,ccgt,electricity,kilowatt hour,23211.124751186187,ccgt__electricity___PRT
0,PRT,chp_biofuel_extraction,electricity,kilowatt hour,420569.84278727835,chp_biofuel_extraction__electricity___PRT
0,PRT,chp_methane_extraction,electricity,kilowatt hour,155021.56711263463,chp_methane_extraction__electricity___PRT
0,PRT,chp_wte_back_pressure,electricity,kilowatt hour,558198505.084879,chp_wte_back_pressure__electricity___PRT
0,ESP,el_import,electricity,kilowatt hour,4829248004.934705,el_import__electricity___ESP
0,PRT,existing_pv,electricity,kilowatt hour,1706580759.1818905,existing_pv__electricity___PRT
0,PRT,existing_wind,electricity,kilowatt hour,16975519247.851534,existing_wind__electricity___PRT
0,PRT,heat_storage_big,heat,unit,64024.37888086988,heat_storage_big__heat___PRT
0,PRT,heat_storage_small,heat,unit,2640169.8543248186,heat_storage_small__heat___PRT
0,PRT,hydro_reservoir,electricity,kilowatt hour,7034481419.237691,hydro_reservoir__electricity___PRT
0,PRT,hydro_run_of_river,electricity,kilowatt hour,8217716366.150942,hydro_run_of_river__electricity___PRT
0,PRT,methane_boiler,heat,megajoule,847413.1280672245,methane_boiler__heat___PRT
0,PRT,methane_storage,methane,unit,5656.373411134421,methane_storage__methane___PRT
0,PRT,open_field_pv,electricity,kilowatt hour,100417087878.80571,open_field_pv__electricity___PRT
0,PRT,pumped_hydro,electricity,kilowatt hour,9180843870.236614,pumped_hydro__electricity___PRT
0,PRT,roof_mounted_pv,electricity,kilowatt hour,842273.1367537137,roof_mounted_pv__electricity___PRT
0,PRT,waste_supply,waste,kilowatt hour,2572222223.3733234,waste_supply__waste___PRT
0,PRT,wind_offshore,electricity,kilowatt hour,1142566.6357662922,wind_offshore__electricity___PRT
0,PRT,wind_onshore,electricity,kilowatt hour,57514890465.62103,wind_onshore__electricity___PRT
1,PRT,battery,electricity,kilogram,4155433583.847487,battery__electricity___PRT
1,PRT,biofuel_boiler,heat,megajoule,843003.95709888,biofuel_boiler__heat___PRT
1,PRT,biofuel_supply,biofuel,kilogram,154907252.47441122,biofuel_supply__biofuel___PRT
1,PRT,biofuel_to_diesel,diesel,kilogram,108196990.20769802,biofuel_to_diesel__diesel___PRT
1,PRT,biofuel_to_methane,methane,cubic meter,13245.59099084548,biofuel_to_methane__methane___PRT
1,PRT,biofuel_to_methanol,methanol,kilogram,131605.3892103418,biofuel_to_methanol__methanol___PRT
1,PRT,ccgt,electricity,kilowatt hour,180819.83808191164,ccgt__electricity___PRT
1,PRT,chp_biofuel_extraction,electricity,kilowatt hour,576424.935281,chp_biofuel_extraction__electricity___PRT
1,PRT,chp_methane_extraction,electricity,kilowatt hour,1354474.0242497,chp_methane_extraction__electricity___PRT
1,PRT,chp_wte_back_pressure,electricity,kilowatt hour,558469666.3479135,chp_wte_back_pressure__electricity___PRT
1,ESP,el_import,electricity,kilowatt hour,11260647584.240993,el_import__electricity___ESP
1,PRT,existing_pv,electricity,kilowatt hour,1690331369.51625,existing_pv__electricity___PRT
1,PRT,existing_wind,electricity,kilowatt hour,16888691826.854939,existing_wind__electricity___PRT
1,PRT,heat_storage_big,heat,unit,396153.91378486,heat_storage_big__heat___PRT
1,PRT,heat_storage_small,heat,unit,1010346010.167468,heat_storage_small__heat___PRT
1,PRT,hydro_reservoir,electricity,kilowatt hour,6929854873.916875,hydro_reservoir__electricity___PRT
1,PRT,hydro_run_of_river,electricity,kilowatt hour,7348535528.334528,hydro_run_of_river__electricity___PRT
1,PRT,methane_boiler,heat,megajoule,6149306.77888644,methane_boiler__heat___PRT
1,PRT,methane_storage,methane,unit,5713.599415162664,methane_storage__methane___PRT
1,PRT,open_field_pv,electricity,kilowatt hour,70579544134.70212,open_field_pv__electricity___PRT
1,PRT,pumped_hydro,electricity,kilowatt hour,6720633042.071706,pumped_hydro__electricity___PRT
1,PRT,roof_mounted_pv,electricity,kilowatt hour,5889950.506791733,roof_mounted_pv__electricity___PRT
1,PRT,waste_supply,waste,kilowatt hour,2572222240.136618,waste_supply__waste___PRT
1,PRT,wind_offshore,electricity,kilowatt hour,9424109.234063083,wind_offshore__electricity___PRT
1,PRT,wind_onshore,electricity,kilowatt hour,82547598429.81404,wind_onshore__electricity___PRT
2,PRT,battery,electricity,kilogram,248412190.1210236,battery__electricity___PRT
2,PRT,biofuel_boiler,heat,megajoule,473876385.26365083,biofuel_boiler__heat___PRT
2,PRT,biofuel_supply,biofuel,kilogram,3524864904.3193207,biofuel_supply__biofuel___PRT
2,PRT,biofuel_to_diesel,diesel,kilogram,109086204.85859218,biofuel_to_diesel__diesel___PRT
2,PRT,biofuel_to_methane,methane,cubic meter,242549285.98608026,biofuel_to_methane__methane___PRT
2,PRT,biofuel_to_methanol,methanol,kilogram,773217712.7187052,biofuel_to_methanol__methanol___PRT
2,PRT,ccgt,electricity,kilowatt hour,4801764.1161720995,ccgt__electricity___PRT
2,PRT,chp_biofuel_extraction,electricity,kilowatt hour,94527762.82098289,chp_biofuel_extraction__electricity___PRT
2,PRT,chp_methane_extraction,electricity,kilowatt hour,36935648.1915984,chp_methane_extraction__electricity___PRT
2,PRT,chp_wte_back_pressure,electricity,kilowatt hour,566760719.1442788,chp_wte_back_pressure__electricity___PRT
2,ESP,el_import,electricity,kilowatt hour,26736062165.69297,el_import__electricity___ESP
2,PRT,existing_pv,electricity,kilowatt hour,1694754288.3573155,existing_pv__electricity___PRT
2,PRT,existing_wind,electricity,kilowatt hour,16998491007.832151,existing_wind__electricity___PRT
2,PRT,heat_storage_big,heat,unit,9377756.827181064,heat_storage_big__heat___PRT
2,PRT,heat_storage_small,heat,unit,802469515.1240062,heat_storage_small__heat___PRT
2,PRT,hydro_reservoir,electricity,kilowatt hour,7100483973.142596,hydro_reservoir__electricity___PRT
2,PRT,hydro_run_of_river,electricity,kilowatt hour,8593129676.351183,hydro_run_of_river__electricity___PRT
2,PRT,methane_boiler,heat,megajoule,160249802.92238376,methane_boiler__heat___PRT
2,PRT,methane_storage,methane,unit,5788.002039913646,methane_storage__methane___PRT
2,PRT,open_field_pv,electricity,kilowatt hour,189340134.51735893,open_field_pv__electricity___PRT
2,PRT,pumped_hydro,electricity,kilowatt hour,3503187226.7703543,pumped_hydro__electricity___PRT
2,PRT,roof_mounted_pv,electricity,kilowatt hour,53857908.10982018,roof_mounted_pv__electricity___PRT
2,PRT,waste_supply,waste,kilowatt hour,2572222222.244917,waste_supply__waste___PRT
2,PRT,wind_offshore,electricity,kilowatt hour,210654556.97373307,wind_offshore__electricity___PRT
2,PRT,wind_onshore,electricity,kilowatt hour,95738378697.08322,wind_onshore__electricity___PRT
3,PRT,battery,electricity,kilogram,438308689.380458,battery__electricity___PRT
3,PRT,biofuel_boiler,heat,megajoule,802582941.8093958,biofuel_boiler__heat___PRT
3,PRT,biofuel_supply,biofuel,kilogram,3663431008.0395603,biofuel_supply__biofuel___PRT
3,PRT,biofuel_to_diesel,diesel,kilogram,108959082.66200396,biofuel_to_diesel__diesel___PRT
3,PRT,biofuel_to_methane,methane,cubic meter,242303250.97748604,biofuel_to_methane__methane___PRT
3,PRT,biofuel_to_methanol,methanol,kilogram,773580207.7136861,biofuel_to_methanol__methanol___PRT
3,PRT,ccgt,electricity,kilowatt hour,4513239.3354217,ccgt__electricity___PRT
3,PRT,chp_biofuel_extraction,electricity,kilowatt hour,84464314.76276009,chp_biofuel_extraction__electricity___PRT
3,PRT,chp_methane_extraction,electricity,kilowatt hour,30409464.9260533,chp_methane_extraction__electricity___PRT
3,PRT,chp_wte_back_pressure,electricity,kilowatt hour,564416816.3942355,chp_wte_back_pressure__electricity___PRT
3,ESP,el_import,electricity,kilowatt hour,16151819958.02434,el_import__electricity___ESP
3,PRT,existing_pv,electricity,kilowatt hour,1677988274.4217734,existing_pv__electricity___PRT
3,PRT,existing_wind,electricity,kilowatt hour,16905098592.28246,existing_wind__electricity___PRT
3,PRT,heat_storage_big,heat,unit,7789488.470730877,heat_storage_big__heat___PRT
3,PRT,heat_storage_small,heat,unit,1654960011.7774308,heat_storage_small__heat___PRT
3,PRT,hydro_reservoir,electricity,kilowatt hour,6972573083.202445,hydro_reservoir__electricity___PRT
3,PRT,hydro_run_of_river,electricity,kilowatt hour,8437587303.879516,hydro_run_of_river__electricity___PRT
3,PRT,methane_boiler,heat,megajoule,168470318.91193452,methane_boiler__heat___PRT
3,PRT,methane_storage,methane,unit,5762.204515141939,methane_storage__methane___PRT
3,PRT,open_field_pv,electricity,kilowatt hour,15873800722.24233,open_field_pv__electricity___PRT
3,PRT,pumped_hydro,electricity,kilowatt hour,3992373395.616449,pumped_hydro__electricity___PRT
3,PRT,roof_mounted_pv,electricity,kilowatt hour,174065515.29194582,roof_mounted_pv__electricity___PRT
3,PRT,waste_supply,waste,kilowatt hour,2572233092.36188,waste_supply__waste___PRT
3,PRT,wind_offshore,electricity,kilowatt hour,366421285.86687714,wind_offshore__electricity___PRT
3,PRT,wind_onshore,electricity,kilowatt hour,90572893086.25676,wind_onshore__electricity___PRT
4,PRT,battery,electricity,kilogram,418491021.90780383,battery__electricity___PRT
4,PRT,biofuel_boiler,heat,megajoule,941583112.3587755,biofuel_boiler__heat___PRT
4,PRT,biofuel_supply,biofuel,kilogram,2933614475.819078,biofuel_supply__biofuel___PRT
4,PRT,biofuel_to_diesel,diesel,kilogram,221970777.57172236,biofuel_to_diesel__diesel___PRT
4,PRT,biofuel_to_methane,methane,cubic meter,241713645.4520233,biofuel_to_methane__methane___PRT
4,PRT,biofuel_to_methanol,methanol,kilogram,773858395.9426872,biofuel_to_methanol__methanol___PRT
4,PRT,ccgt,electricity,kilowatt hour,4632698.7333062,ccgt__electricity___PRT
4,PRT,chp_biofuel_extraction,electricity,kilowatt hour,87750947.46188949,chp_biofuel_extraction__electricity___PRT
4,PRT,chp_methane_extraction,electricity,kilowatt hour,30768632.424125202,chp_methane_extraction__electricity___PRT
4,PRT,chp_wte_back_pressure,electricity,kilowatt hour,563916574.1768184,chp_wte_back_pressure__electricity___PRT
4,ESP,el_import,electricity,kilowatt hour,16052565413.567198,el_import__electricity___ESP
4,PRT,existing_pv,electricity,kilowatt hour,1681942938.7895582,existing_pv__electricity___PRT
4,PRT,existing_wind,electricity,kilowatt hour,16911185790.106834,existing_wind__electricity___PRT
4,PRT,heat_storage_big,heat,unit,8551141.022241615,heat_storage_big__heat___PRT
4,PRT,heat_storage_small,heat,unit,1609976560.8553793,heat_storage_small__heat___PRT
4,PRT,hydro_reservoir,electricity,kilowatt hour,7092384451.179387,hydro_reservoir__electricity___PRT
4,PRT,hydro_run_of_river,electricity,kilowatt hour,8548461578.696736,hydro_run_of_river__electricity___PRT
4,PRT,methane_boiler,heat,megajoule,185888144.20848697,methane_boiler__heat___PRT
4,PRT,methane_storage,methane,unit,5760.521726074623,methane_storage__methane___PRT
4,PRT,open_field_pv,electricity,kilowatt hour,6885080411.222224,open_field_pv__electricity___PRT
4,PRT,pumped_hydro,electricity,kilowatt hour,4895779592.130681,pumped_hydro__electricity___PRT
4,PRT,roof_mounted_pv,electricity,kilowatt hour,196136983.4154985,roof_mounted_pv__electricity___PRT
4,PRT,waste_supply,waste,kilowatt hour,2572226065.9627266,waste_supply__waste___PRT
4,PRT,wind_offshore,electricity,kilowatt hour,190622189.8515112,wind_offshore__electricity___PRT
4,PRT,wind_onshore,electricity,kilowatt hour,103461203163.84502,wind_onshore__electricity___PRT
5,PRT,battery,electricity,kilogram,650735466.3109349,battery__electricity___PRT
5,PRT,biofuel_boiler,heat,megajoule,1380286056.6466532,biofuel_boiler__heat___PRT
5,PRT,biofuel_supply,biofuel,kilogram,2976482286.424501,biofuel_supply__biofuel___PRT
5,PRT,biofuel_to_diesel,diesel,kilogram,221019466.71038005,biofuel_to_diesel__diesel___PRT
5,PRT,biofuel_to_methane,methane,cubic meter,242496049.20291018,biofuel_to_methane__methane___PRT
5,PRT,biofuel_to_methanol,methanol,kilogram,772721512.7374393,biofuel_to_methanol__methanol___PRT
5,PRT,ccgt,electricity,kilowatt hour,7769230.2804171,ccgt__electricity___PRT
5,PRT,chp_biofuel_extraction,electricity,kilowatt hour,132422015.18253629,chp_biofuel_extraction__electricity___PRT
